B b
– -
Reforço reforço
e e
monitoria monitoria
de de
inglês inglês
- -
CST cst
em em
Cosméticos cosmético
O o
que que
será ser
feito fazer
: :
Oferecimento oferecimento
de de
aulas aula
de de
reforço reforço
e e
monitoria monitoria
de de
inglês inglês
Por por
que que
será ser
feito fazer
: :
Melhorar melhorar
os o
processos processo
de de
aprendizagem aprendizagem
e e
reduzir reduzir
a o
taxa taxa
de de
evasão evasão
Objetivo objetivo
( (
s s
) )
relacionado relacionar
( (
s s
) )
: :
Alcançar alcançar
e e
manter manter
o o
grau grau
de de
excelência excelência
em em
seus seu
processos processo
de de
ensino ensino
e e
aprendizagem aprendizagem
. .
Meta meta
( (
s s
) )
relacionada relacionar
( (
s s
) )
: :
Promover promover
ações ação
administrativas administrativo
e e
pedagógicas pedagógico
que que
proporcionem proporcionar
a o
redução redução
da de_o
taxa taxa
de de
evasão evasão
em em
5 5
% %
com com
relação relação
ao a_o
indicador indicador
de de
desempenho desempenho
de de
2022 @card@
, ,
no em_o
ano ano
de de
2023 @card@
. .
